ID_CLIENTE,ID_GRUPO,TX_DISP_CATEGORIA_ORIGINAL
186192348,771861,web
62607960,603681,mobile
165712980,568301,tv
176432928,582922,tv
202539330,528107,mobile
214955652,775678,mobile
144233502,776238,tv
106180614,590219,tv
160605708,556864,mobile
213214104,556740,mobile
148491096,613512,tv
188413560,540564,mobile
161395344,546060,mobile
215814654,582878,mobile
209457468,593860,mobile
204541086,613821,mobile
214630986,583200,tv
169805652,694654,tv
140150964,660839,mobile
199808844,528058,tv
176340594,723007,mobile
214885830,749667,web
198547830,776238,mobile
198585726,593989,mobile
212939358,742193,mobile
205288464,768919,tv
214648014,745263,tv
214508190,531775,mobile
215757756,528361,tv
192816996,543280,mobile
209794128,593863,tv
189425022,685117,tv
166335636,547929,tv
214075632,591261,mobile
141831150,613647,mobile
182352906,613727,web
157106004,779489,tv
114454296,618804,mobile
159824586,749270,tv
140490720,775661,tv
213761880,778123,mobile
179281074,553020,mobile
212812872,613675,web
111006756,613707,mobile
205166274,705253,web
180882588,624006,mobile
172179684,778765,tablet
141697638,556864,web
214221486,588115,mobile
214104042,592600,tv
105615456,775042,mobile
214223040,582911,tv
161758764,582910,tablet
210516744,775897,mobile
212362494,537089,mobile
212362494,537089,mobile
21491502,775619,mobile
212601066,775183,mobile
215216370,594500,mobile
121526664,554643,web
212698032,775731,tv
184060212,742379,tv
208365804,557782,web
210193176,587382,mobile
30378282,613605,tv
215599338,767680,web
174128862,776463,tv
114575526,704060,tv
174464112,606227,mobile
212318130,768326,mobile
141313992,749668,mobile
168534738,667566,tv
204248784,543369,tv
215779788,768326,mobile
213746994,543999,web
183739800,778382,tv
170961798,585083,mobile
214618746,776742,mobile
215815872,528361,mobile
212707182,556627,mobile
172679442,613788,tv
135260808,606513,tv
165516222,648467,tv
168739302,607326,web
214630986,583164,tv
215884380,597205,mobile
215098452,526804,tv
215814828,719043,mobile
199266630,550062,mobile
213623862,620861,tv
214389720,547929,mobile
150603486,707294,web
186947130,703395,web
164039286,552622,web
207075750,698732,mobile
176432928,583220,tv
208506990,751234,mobile
215768256,778019,mobile
150164976,745800,mobile
215540850,755597,mobile
208354764,531751,mobile
170379636,710272,mobile
158506404,778270,tv
137173896,613779,tv
148491096,613707,tv
209936238,773164,mobile
195353652,779308,web
141099330,596021,web
155772408,669289,mobile
215561376,730630,tv
143284182,613907,mobile
214377138,674201,mobile
206801706,692296,mobile
158129100,588781,tablet
135260808,768684,tv
103212822,614049,tv
167965434,542840,tv
203791770,738077,web
215451360,754062,mobile
181262700,663778,web
211853346,687377,mobile
135334614,570026,web
145505562,598862,web
205288464,574023,tv
207238116,613908,tv
