ID_GRUPO,TITULO
526402,National Treasure
526403,Poohs Heffalump Movie
526406,Cars
526409,"Princess Diaries 2, The: Royal Engagement"
526422,Pirates of the Caribbean: The Curse of the Black Pearl
526423,"Santa Clause, The"
526424,"Santa Clause 2, The"
526454,Pocahontas
526466,Sky High
526469,Chicken Little
526471,Stick It!
526474,"4th Floor, The"
526477,Nacho Libre
526478,Cansada de besar sapos (Tired of Kissing Frogs)
526482,"Sixth Sense, The"
526483,Saw III
526487,"Simpsons Movie, The"
526493,Transformers
526499,Brother Bear
526500,Under the Tuscan Sun
526514,Unbreakable
526515,National Treasure 2: The Book of Secrets
526516,"Game Plan, The"
526580,"Mutant Chronicles, The"
526586,Everyones Hero (aka Yankee Irving)
526591,Tinker Bell
526597,King Arthur
526602,"Chronicles of Narnia, The: The Lion, the Witch and the Wardrobe"
526604,"Haunted Mansion, The"
526640,Transformers: Revenge of the Fallen
526702,"Devils Tomb, The"
526768,Ice Age
526832,Heavens Fall
526852,Driven to Kill (aka Ruslan)
526859,Greta (aka According to Greta)
526981,"Godfather Part II, The"
527171,Dangerous Minds
527206,"Rescuers, The"
527207,"To Wong Foo, Thanks for Everything, Julie Newmar"
527212,Home on the Range
527218,Treasure Planet
527223,"Tigger Movie, The"
527389,Karaoke - Katy Perry - Fireworks
527392,Karaoke - Sin Bandera - Sirena
527404,Karaoke - Rihanna Feat Drake - Whats my Name
527415,Karaoke - Queen - Bohemian Rhapsody
527417,Karaoke - Bruno Mars - Grenade
527422,Karaoke - Miranda - Don
527424,Karaoke - Bebe - Malo
527472,Beverly Hills Chihuahua 2
527874,Karaoke - AC / DC - Highway to Hell
527875,Karaoke - Aqua - Barbie Girl
527901,"Hills Have Eyes 2, The"
527903,Planet of the Apes (2001)
527904,Robots
527905,Theres Something About Mary
527906,Transporter 2
527907,"Transporter, The"
527909,"X-Files, The: Fight the Future"
527911,X-Men United (X2)
527912,X-Men: The Last Stand
527916,Karaoke - The Beatles - Yesterday
528032,Mulan
528036,Hercules
528038,Santa Clause 3: The Escape Clause
528040,Meet the Robinsons
528043,Wild Hogs
528044,"Princess Diaries, The"
528058,Pirates of the Caribbean: Dead Mans Chest
528107,"Day After Tomorrow, The"
528108,Die Hard
528109,"Happening, The"
528229,Karaoke - Ramones - Merry Christmas
528233,Karaoke - Bruce Springsteen - Santa Claus Is Comin To Town
528255,Karaoke - Luis Miguel - Llegó La Navidad
528272,Winnie the Pooh
528329,Cars 2
528344,Aliens Vs. Predator: Requiem
528353,Night At The Museum
528354,Water For Elephants
528361,Captain America: The First Avenger
528362,Pirates of the Caribbean: On Stranger Tides
528387,Karaoke - Barbra Streisand - Over the Rainbow
528392,Karaoke - Guns N Roses - November Rain
528395,Karaoke - Juan Luis Guerra - Burbujas de Amor
528396,Karaoke - Juan Luis Guerra - Las avispas
528404,Karaoke - The Beatles - Here Comes the Sun
528405,Karaoke - R.E.M. - Losing My Religion
528424,Thor
528427,"Devil Wears Prada, The"
528438,Transformers: Dark of the Moon
528442,Karaoke - Alejandro Sanz - Amiga mía
528521,Alien vs. Predator
528708,Quicksand
528742,Karaoke - Ricardo Montaner - Déjame llorar
528758,"X-Files: I Want to Believe, The (2008)"
528776,"Rock, The"
528781,"Princess of Montpensier, The"
528783,Karaoke - Miguel Bosé - Amante bandido
528832,Hitman
528880,Little Miss Sunshine
529001,Kung Fu Panda 2
529004,X-Men: First Class
529013,Fright Night
529048,Bruce Almighty
529053,Toy Story 2 (1999)
529054,Bolt
529061,Star Trek (2009)
529120,Pretty Woman
529124,27 Dresses
529128,"Family Stone, The"
529129,Field of Dreams
529131,Pearl Harbor
529139,Bridesmaids
529164,Along Came Polly
529165,Lilo & Stitch
529168,"I, Robot"
529342,"Godfather Part III, The"
529450,Karaoke - Alex Ubago - Sin miedo a nada
529526,Karaoke - Paulina Rubio - Ni una sola palabra
529530,Karaoke - Cristian Castro - No podrás
529532,Karaoke - Jennifer López - Una noche más
529533,Karaoke - Linkin Park - Numb
529542,Karaoke - Usher - My Way
529561,Meet Joe Black
529562,Apollo 13
529566,"Horse Whisperer, The"
529577,Karaoke - Oasis - Stand By Me
529582,Karaoke - Alejandro Fernandéz - Sí tú supieras
529600,Evita
529649,Tarzan (1999)
529701,Wall-E
529845,Three Men and a Little Lady
529847,Air Force One
529885,Toy Story 3
529896,Backdraft
529897,Sweet Home Alabama
529940,Out of Africa
529943,Armageddon
529947,Rise of the Planet of the Apes
529948,Mr. Poppers Penguins
529982,Tea with Mussolini
529985,Notting Hill
530005,Possession (aka Addicted)
530017,"Zurdo, El"
530047,Bean
530050,"Day the Earth Stood Still, The"
530076,Fear and Loathing in Las Vegas
530089,Real Steel
530101,Space Buddies
530220,"segundo aire, El"
530225,Glee: The Concert Movie
530240,"Monsters, Inc."
530244,One True Thing
